day_of month,name,info
3,Viktor Saneyev,", 76, Georgian triple jumper, Olympic champion (1968, 1972, 1976)."
3,S. H. Sarma,", 99, Indian vice admiral, FOCEF (1971–1973) and commandant of the National Defence College (1975–1977)."
3,Richard Sinnott,", 74, Irish academic, political commentator and broadcaster."
3,Harvey G. Stack,", 93, American numismatist."
3,Nino Sydney,", 89, Yugoslav-born Australian architect and water polo player."
3,Claude Taittinger,", 94, French businessman, director of Taittinger."
3,Bashir Tofa,", 74, Nigerian politician, MP (1977–1979)."
3,Lila Wallis,", 100, Polish-born American endocrinologist and hematologist."
3,Jay Wolpert,", 79, American television producer () and screenwriter (, ), complications from Alzheimer's disease."
3,Zheng Min,", 101, Chinese poet."
3,Vladan Živković,", 80, Serbian actor (, , )."
4,Rolf-Dieter Amend,", 72, German slalom canoeist, Olympic champion (1972)."
4,Leanne Armand,", 53, Australian marine scientist, cancer."
4,Javier Astúa,", 53, Costa Rican footballer (Puntarenas, Palestino, national team), heart disease."
4,Michael Billen,", 66, German politician, member of the Rhineland-Palatinate Landtag (1996–2020), leukemia."
4,Ross Browner,", 67, American Hall of Fame football player (Notre Dame Fighting Irish, Cincinnati Bengals, Green Bay Packers), COVID-19."
4,David Carpenter,", 86, English cricketer (Gloucestershire)."
4,Hilton Cheong-Leen,", 99, Hong Kong politician, member (1957–1991) and chairman (1983–1986) of the Urban Council, member of the Legislative Council (1973–1979, 1985–1988)."
4,Joan Copeland,", 99, American actress (, , )."
4,Jim Corsi,", 60, American baseball player (Oakland Athletics, Boston Red Sox, Houston Astros), cancer."
4,Sergio Dangelo,", 89, Italian surrealistic painter."
4,William M. Ellinghaus,", 99, American business executive, president of AT&T (1979–1984)."
4,Julio Ferrer,", 68, Puerto Rican Olympic sprinter (1976)."
4,Max Fordham,", 88, British engineer."
4,Aranka Goijert,", 80, Dutch politician, senator (2007–2011)."
4,Percy Hobson,", 79, Australian high jumper, British Empire and Commonwealth Games gold medallist (1962)."
4,William Terrell Hodges,", 87, American jurist, judge (since 1971) and chief judge (1982–1989) of the U.S. District Court for Middle Florida."
4,Jaakko Jonkka,", 68, Finnish jurist, chancellor of justice (2007–2018)."
4,Kevin Kalkhoven,", 77, Australian telecom (JDS Uniphase) and motorsport (Champ Car World Series) executive and motor racing team owner (KV Racing Technology)."
4,Anatoliy Kuksov,", 72, Ukrainian football player (Zorya Luhansk, Soviet Union national team) and coach (Hirnyk Rovenky), Olympic bronze medallist (1972)."
